timestamp,open,high,low,close
41933,106.94,107.1,106.25,107.08
41934,107.06,107.37,106.81,107.2
41935,107.19,108.34,107.11,108.3
41936,108.27,108.27,107.77,108.1
41939,108.23,108.25,107.6,107.84
41940,107.85,108.18,107.71,108.14
41941,108.12,108.96,107.94,108.84
41942,108.83,109.44,108.75,109.25
41943,109.26,112.46,109.18,112.3
41946,112.71,114.2,112.58,114.04
41947,113.97,113.99,113.19,113.6
41948,113.6,114.81,113.41,114.64
41949,114.66,115.48,114.14,115.2
41950,115.22,115.47,114.26,114.57
41953,114.5,114.9,113.85,114.86
41954,114.83,116.06,114.64,115.76
41955,115.74,115.99,114.95,115.45
41956,115.5,115.85,115.35,115.76
41957,115.77,116.8,115.74,116.3
41960,116.47,116.98,115.47,116.58
41961,116.61,117,116.38,116.84
41962,116.85,118.03,116.84,117.96
41963,117.93,118.95,117.76,118.2
41964,118.15,118.36,117.38,117.76
41967,117.872,118.483,117.53,118.31
41968,118.308,118.579,117.66,117.903
41969,117.9,117.929,117.41,117.595
41970,117.586,117.991,117.2,117.88
41971,117.877,118.773,117.79,118.63
41974,118.834,119.144,117.84,118.261
41975,118.27,119.287,118.19,119.21
41976,119.22,119.865,119.1,119.829
41977,119.821,120.252,119.31,119.814
41978,119.822,121.688,119.66,121.41
41981,121.831,121.841,120.18,120.538
41982,120.547,121.002,117.929,119.543
41983,119.571,119.917,117.69,117.938
41984,117.932,119.556,117.42,118.835
41985,118.845,119.206,118.03,118.8
41988,118.219,119.06,117.52,117.831
41989,117.827,117.964,115.55,116.499
41990,116.5,118.903,116.42,118.869
41991,118.871,119.31,118.21,118.938
41992,118.938,119.623,118.79,119.49
41995,119.523,120.088,119.29,120.063
41996,120.063,120.826,120.01,120.735
41997,120.734,120.8,120.25,120.342
41998,120.339,120.442,119.91,120.246
41999,120.245,120.49,120.12,120.49
42002,120.366,120.735,120.14,120.673
42003,120.64,120.71,118.84,119.433
42004,119.424,119.941,119.21,119.66
42005,119.77,119.91,119.64,119.823
42006,119.822,120.741,119.77,120.49
42009,120.528,120.646,119.24,119.286
42010,119.28,119.511,118.03,118.588
42011,118.584,119.648,118.47,119.322
42012,119.307,119.963,119.13,119.724
42013,119.729,119.877,118.4,118.52
42016,118.306,119.32,118.07,118.359
42017,118.366,118.85,117.52,117.887
42018,117.891,117.94,116.03,117.25
42019,117.252,117.943,115.88,116.18
42020,116.184,117.77,115.83,117.62
42023,117.427,117.785,116.9,117.654
42024,117.65,118.867,117.61,118.671
42025,118.671,118.761,117.14,117.913
42026,117.916,118.706,117.23,118.634
42027,118.634,118.815,117.528,117.78
42030,117.636,118.502,117.24,118.409
42031,118.411,118.66,117.29,117.739
42032,117.746,118.263,117.245,117.485
42033,117.485,118.493,117.34,118.339
42034,118.333,118.461,117.27,117.45
42037,117.117,117.878,117,117.681
42038,117.68,117.743,116.85,117.556
42039,117.549,117.998,117.04,117.32
42040,117.322,117.597,116.99,117.5
42041,117.498,119.221,117.137,119.123
42044,119.053,119.074,118.3,118.639
42045,118.623,119.62,118.36,119.427
42046,119.424,120.482,119.26,120.296
42047,120.296,120.373,118.48,119.143
42048,119.147,119.198,118.39,118.73
42051,118.633,118.785,118.25,118.498
42052,118.486,119.417,118.21,119.192
42053,119.188,119.418,118.52,118.717
42054,118.71,119.18,118.409,119.028
42055,119.025,119.189,118.27,119.017
42058,119.065,119.353,118.71,118.824
42059,118.818,119.838,118.73,118.969
42060,118.957,119.066,118.59,118.829
42061,118.827,119.504,118.64,119.36
42062,119.364,119.799,119.09,119.56
42065,119.691,120.194,119.64,120.189
42066,120.187,120.266,119.35,119.669
42067,119.672,119.825,119.45,119.704
42068,119.712,120.421,119.6,120.078
42069,120.078,121.282,119.854,120.798
42072,120.694,121.415,120.58,121.253
42073,121.253,122.023,120.9,121.112
42074,121.113,121.626,120.82,121.412
42075,121.41,121.686,120.64,121.33
42076,121.333,121.573,121.1,121.33
42079,121.369,121.457,121.06,121.353
42080,121.353,121.519,121.09,121.343
42081,121.343,121.409,119.277,120.288
42082,120.289,121.033,119.65,120.82
42083,120.825,121.201,119.87,120.02
42086,120.02,120.166,119.55,119.618
42087,119.623,119.984,119.21,119.729
42088,119.727,119.827,119.21,119.469
42089,119.464,119.574,118.3,119.215
42090,119.217,119.493,118.91,119.12
42093,119.226,120.229,119.09,120.088
42094,120.088,120.365,119.75,119.993
42095,119.993,120.33,119.39,119.657
42096,119.654,119.897,119.42,119.758
42097,119.758,119.984,118.68,118.963
42100,118.87,119.682,118.76,119.507
42101,119.512,120.447,119.42,120.248
42102,120.248,120.343,119.63,120.162
42103,120.16,120.738,119.83,120.533
42104,120.531,120.626,120.03,120.185
42107,120.211,120.845,119.69,120.078
42108,120.077,120.119,119.04,119.391
42109,119.389,119.747,118.76,119.158
42110,119.158,119.472,118.77,119.024
42111,119.024,119.265,118.54,118.897
42114,118.946,119.436,118.5,119.26
42115,119.26,119.834,119.15,119.647
42116,119.647,120.004,119.33,119.987
42117,119.989,120.094,119.4,119.62
42118,119.624,119.642,118.79,118.964
42121,118.871,119.434,118.74,119.105
42122,119.099,119.199,118.75,118.839
42123,118.839,119.361,118.58,119.038
42124,119.042,119.896,118.47,119.472
42125,119.472,120.288,119.38,120.166
42128,120.197,120.276,119.97,120.121
42129,120.125,120.506,119.7,119.89
42130,119.926,120.047,119.18,119.427
42131,119.425,119.862,119.02,119.717
42132,119.713,120.235,119.56,119.866
42135,119.816,120.154,119.68,120.132
42136,120.137,120.278,119.737,119.875
42137,119.87,119.972,119.01,119.12
42138,119.121,119.339,118.86,119.188
42139,119.19,119.927,119.14,119.25
42142,119.408,120.114,119.3,119.985
42143,119.985,120.739,119.8,120.677
42144,120.673,121.479,120.56,121.218
42145,121.221,121.28,120.82,121.059
42146,121.06,121.571,120.61,121.5
42149,121.506,121.777,121.41,121.573
42150,121.56,123.323,121.51,123.015
42151,123.02,124.071,122.76,123.721
42152,123.72,124.459,123.47,123.74
42153,123.778,124.185,123.58,124.1
42156,124.177,124.917,123.847,124.81
42157,124.808,125.055,123.737,124.053
42158,124.053,124.682,123.76,124.291
42159,124.296,124.681,123.75,124.455
42160,124.453,125.855,124.33,125.58
42163,125.654,125.668,124.27,124.611
42164,124.614,124.738,123.838,124.414
42165,124.418,124.621,122.44,122.773
42166,122.777,124.148,122.75,123.534
42167,123.538,123.817,123.11,123.408
42170,123.289,123.66,123.25,123.411
42171,123.411,123.802,123.27,123.383
42172,123.38,124.445,123.19,123.48
42173,123.481,123.608,122.43,122.932
42174,122.931,123.217,122.53,122.681
42177,122.773,123.419,122.53,123.377
42178,123.378,124.186,123.33,123.912
42179,123.912,124.377,123.69,123.864
42180,123.864,123.957,123.3,123.573
42181,123.572,123.988,123.2,123.861
42184,122.565,123.193,122.31,122.546
42185,122.546,122.726,121.92,122.421
42186,122.421,123.248,122.337,123.229
42187,123.227,123.721,122.92,123.04
42188,123.055,123.184,122.57,122.851
42191,122.368,122.93,122.16,122.595
42192,122.595,122.882,121.98,122.489
42193,122.491,122.558,120.39,120.673
42194,120.67,121.792,120.56,121.79
42195,121.787,122.879,121.48,122.83
42198,122.482,123.581,122.39,123.578
42199,123.574,123.731,122.9,123.34
42200,123.339,123.97,123.23,123.95
42201,123.949,124.179,123.7,124.154
42202,124.155,124.232,123.88,124.05
42205,124.093,124.438,124.04,124.286
42206,124.283,124.477,123.73,123.862
42207,123.86,124.151,123.54,123.965
42208,123.961,124.186,123.65,123.9
42209,123.903,124.096,123.56,123.79
42212,123.832,123.832,122.98,123.257
42213,123.26,123.794,123.04,123.58
42214,123.595,124.023,123.3,123.913
42215,123.913,124.582,123.84,124.186
42216,124.187,124.375,123.48,123.85
42219,123.941,124.272,123.8,123.978
42220,123.978,124.403,123.76,124.337
42221,124.337,125.012,123.97,124.808
42222,124.808,124.963,124.5,124.707
42223,124.705,125.072,124.07,124.197
42226,124.281,124.783,124.23,124.541
42227,124.538,125.208,124.49,125.074
42228,125.074,125.28,123.76,124.187
42229,124.188,124.627,124.04,124.404
42230,124.41,124.533,124,124.276
42233,124.315,124.574,124.19,124.398
42234,124.406,124.519,124.16,124.383
42235,124.383,124.47,123.651,123.926
42236,123.927,124.157,123.296,123.443
42237,123.441,123.496,121.79,122.002
42240,121.527,121.948,116.148,118.395
42241,118.397,120.397,118.361,118.91
42242,118.919,120.365,118.43,120.265
42243,120.262,121.399,119.767,121.059
42244,121.058,121.75,120.623,121.703
42247,121.266,121.417,120.854,121.205
42248,121.204,121.239,119.18,119.608
42249,119.609,120.616,119.529,120.489
42250,120.49,120.699,119.62,120.179
42251,120.179,120.186,118.57,119.017
42254,119.18,119.589,118.771,119.239
42255,119.239,120.227,118.83,119.971
42256,119.973,121.197,119.905,120.32
42257,120.324,121.329,119.94,120.77
42258,120.769,120.967,120.338,120.567
42261,120.62,120.843,119.82,120.331
42262,120.332,120.652,119.36,120.358
42263,120.358,120.728,120.073,120.56
42264,120.558,120.992,119.755,120.132
42265,120.138,120.418,119.017,119.92
42268,119.993,120.659,119.695,120.496
42269,120.499,120.542,119.669,120.01
42270,120.01,120.544,119.598,120.221
42271,120.221,120.392,119.2,120.288
42272,120.288,121.236,119.983,120.584
42275,120.53,120.577,119.66,119.916
42276,119.919,120.16,119.21,119.784
42277,119.786,120.35,119.53,119.932
42278,119.928,120.276,119.47,119.841
42279,119.84,120.404,118.667,119.898
42282,119.982,120.551,119.831,120.451
42283,120.45,120.568,120.069,120.219
42284,120.223,120.361,119.72,119.983
42285,119.981,120.109,119.592,119.908
42286,119.911,120.347,119.81,120.246
42289,120.22,120.247,119.855,120.044
42290,120.046,120.079,119.516,119.745
42291,119.745,119.779,118.607,118.862
42292,118.861,119.168,118.035,118.946
42293,118.946,119.661,118.881,119.442
42296,119.375,119.611,119.102,119.498
42297,119.498,119.964,119.376,119.802
42298,119.8,120.092,119.75,119.9
42299,119.901,120.771,119.583,120.68
42300,120.683,121.484,120.199,121.452
42303,121.379,121.436,120.58,121.027
42304,121.031,121.075,120.127,120.436
42305,120.436,121.258,119.989,121.085
42306,121.087,121.186,120.555,120.949
42307,120.952,121.487,120.253,120.608
42310,120.474,120.812,120.222,120.745
42311,120.742,121.231,120.558,121.074
42312,121.077,121.718,120.976,121.51
42313,121.514,122.003,121.349,121.698
42314,121.698,123.267,121.593,123.136
42317,123.316,123.605,122.95,123.07
42318,123.072,123.437,122.99,123.207
42319,123.21,123.224,122.706,122.79
42320,122.79,123.073,122.519,122.64
42321,122.64,122.988,122.409,122.579
42324,122.376,123.279,122.193,123.261
42325,123.265,123.489,123.151,123.413
42326,123.414,123.755,123.18,123.573
42327,123.571,123.585,122.599,122.946
42328,122.943,123.052,122.689,122.755
42331,122.866,123.26,122.748,122.88
42332,122.885,122.961,122.273,122.516
42333,122.518,122.935,122.221,122.698
42334,122.698,122.719,122.461,122.625
42335,122.629,122.88,122.267,122.741
42338,122.765,123.341,122.647,123.146
42339,123.145,123.275,122.615,122.905
42340,122.9,123.67,122.785,123.283
42341,123.284,123.562,122.264,122.65
42342,122.653,123.375,122.44,123.056
42345,123.2,123.476,123.113,123.364
